Designator,Footprint,Quantity,Value,LCSC Part #
"D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2, D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3",0805,27,LED,
"J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",Male_Module,9,~,
"MOUSE-BITE-1MM-3MM_24, MOUSE-BITE-1MM-3MM_23, MOUSE-BITE-1MM-3MM_22, MOUSE-BITE-1MM-3MM_21, MOUSE-BITE-1MM-3MM_20, MOUSE-BITE-1MM-3MM_19, MOUSE-BITE-1MM-3MM_18, MOUSE-BITE-1MM-3MM_17, MOUSE-BITE-1MM-3MM_16, MOUSE-BITE-1MM-3MM_15, MOUSE-BITE-1MM-3MM_14, MOUSE-BITE-1MM-3MM_13, MOUSE-BITE-1MM-3MM_12, MOUSE-BITE-1MM-3MM_11, MOUSE-BITE-1MM-3MM_10, MOUSE-BITE-1MM-3MM_9, MOUSE-BITE-1MM-3MM_8, MOUSE-BITE-1MM-3MM_7, MOUSE-BITE-1MM-3MM_6, MOUSE-BITE-1MM-3MM_5, MOUSE-BITE-1MM-3MM_4, MOUSE-BITE-1MM-3MM_3, MOUSE-BITE-1MM-3MM_2, MOUSE-BITE-1MM-3MM",mouse-bite-1mm-3mm,24,VAL**,
"R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1",0402,9,1k,
"R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",0402,9,9k1,
"R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",0402,27,33,
"SW1_9, SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",Hotswap_MX_Plated_1.00u,9,SW_Push,
